,Claim ID,Claim,INDRA,English,BEL
0,35,A deficiency of vitamin B12 decreases blood levels of homocysteine.,"DecreaseAmount(cyanocob(III)alamin(), homocysteine())",Cyanocob(III)alamin decreases the amount of homocysteine,"p(PFAM:PF00531 ! ""death domain"") partOf complex(p(HGNC:9527 ! PSIP1), p(PFAM:PF00531 ! ""death domain""))"
1,37,A deficiency of vitamin B6 decreases blood levels of homocysteine.,"DecreaseAmount(pyridoxine(), homocysteine())",Pyridoxine decreases the amount of homocysteine,"p(HGNC:14063 ! HDAC4) hasVariant p(HGNC:14063 ! HDAC4, pmod(go:0006468 ! ""protein phosphorylation""))"
2,55,AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.,"Inhibition(AMPK(), Fibrosis())",AMPK inhibits Fibrosis,p(FPLX:AMPK ! AMPK) decreases bp(MESH:D005355 ! Fibrosis)
3,55,AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.,"Inhibition(AMPK(), inflammatory response())", AMPK inhibits inflammatory response,"p(FPLX:AMPK ! AMPK) decreases bp(GO:""GO:0006954"" ! ""inflammatory response"")"
4,66,AZT given with ribavirin increases anemia.,"Activation(zidovudine(), Anemia())",Zidovudine activates Anemia,a(CHEBI:10110 ! zidovudine) increases bp(MESH:D000740 ! Anemia)
5,66,AZT given with ribavirin increases anemia.,"Activation(ribavirin(), Anemia())", Ribavirin activates Anemia,a(CHEBI:63580 ! ribavirin) increases bp(MESH:D000740 ! Anemia)
6,67,Activated Cdk5 phosphorylates the ATM protein in response to DNA damage.,"Activation(ATM(), CDK5())",ATM activates CDK5,p(HGNC:795 ! ATM) increases p(HGNC:1774 ! CDK5)
7,69,Activation of PPM1D enhances p53 function.,"Activation(PPM1D(), TP53())",PPM1D activates TP53,p(HGNC:9277 ! PPM1D) increases p(HGNC:11998 ! TP53)
8,79,Active caspase-11 protein promotes pyroptosis.,"Activation(Casp4(), pyroptosis())",Casp4 activates pyroptosis,"p(UP:P70343 ! P70343) increases bp(GO:""GO:0070269"" ! pyroptosis)"
9,153,B3-Galectin decreases cell resistance to tyrosine kinase inhibitors (TKIs) by engaging the alternate KRAS-RalB signaling complex downstream of EGFR.,"Activation(B3-Galectin(), EGFR())",B3-Galectin activates EGFR,a(TEXT:B3-Galectin) increases p(HGNC:3236 ! EGFR)
10,153,B3-Galectin decreases cell resistance to tyrosine kinase inhibitors (TKIs) by engaging the alternate KRAS-RalB signaling complex downstream of EGFR.,"Activation(B3-Galectin(), KRAS-RalB())", B3-Galectin activates KRAS-RalB,a(TEXT:B3-Galectin) increases a(TEXT:KRAS-RalB)
11,154,B3-Galectin increases cell resistance to tyrosine kinase inhibitors (TKIs) by engaging the alternate KRAS-RalB signaling complex downstream of EGFR.,"Activation(B3-Galectin(), EGFR())",B3-Galectin activates EGFR,a(TEXT:B3-Galectin) increases p(HGNC:3236 ! EGFR)
12,154,B3-Galectin increases cell resistance to tyrosine kinase inhibitors (TKIs) by engaging the alternate KRAS-RalB signaling complex downstream of EGFR.,"Activation(B3-Galectin(), KRAS-RalB())", B3-Galectin activates KRAS-RalB,a(TEXT:B3-Galectin) increases a(TEXT:KRAS-RalB)
13,155,BCL-2 activation antagonizes the apoptotic effects of c-Myc.,"Inhibition(BCL2(), MYC())",BCL2 inhibits MYC,p(HGNC:990 ! BCL2) decreases p(HGNC:7553 ! MYC)
14,156,BCL-2 promotes the apoptotic effects of c-Myc.,"Activation(BCL2(), MYC())",BCL2 activates MYC,p(HGNC:990 ! BCL2) increases p(HGNC:7553 ! MYC)
15,253,Chinese individuals with TT homozygosity in the MTHFR gene are less vulnerable to strokes caused by low levels of folate intake.,"Activation(folate(), Stroke())",Folate activates Stroke,a(PUBCHEM:6037 ! 6037) increases bp(MESH:D020521 ! Stroke)
16,254,Chinese individuals with TT homozygosity in the MTHFR gene are more vulnerable to strokes caused by low levels of folate intake.,"Activation(folate(), Stroke())",Folate activates Stroke,a(PUBCHEM:6037 ! 6037) increases bp(MESH:D020521 ! Stroke)
17,258,"Cholesterol loading induces KLF4 expression in VSMCs, resulting in the expression of pro-inflammatory cytokines.","IncreaseAmount(cholesterol(), KLF4())",Cholesterol increases the amount of KLF4,a(CHEBI:16113 ! cholesterol) increases p(HGNC:6348 ! KLF4)
18,301,Cytosolic proteins bind to iron-responsive elements on mRNAs coding for TFRC1.,"Complex(Cytosolic proteins(), iron atom())",Cytosolic proteins binds iron atom,"a(CHEBI:18248 ! ""iron atom"") partOf complex(a(CHEBI:18248 ! ""iron atom""), a(TEXT:""Cytosolic proteins""))"
19,304,DMS3 protein enables Pol V transcription in vivo.,"IncreaseAmount(DMS3(), POL5())",DMS3 increases the amount of POL5,p(UP:Q94A79 ! Q94A79) directlyIncreases p(UP:P39985 ! P39985)
20,305,DRD1 proteins enable Pol V transcription in vivo.,"IncreaseAmount(DRD1(), POL5())",DRD1 increases the amount of POL5,p(HGNC:3020 ! DRD1) increases p(UP:P39985 ! P39985)
21,306,DUSP4 decreases apoptosis.,"Inhibition(DUSP4(), apoptotic process())",DUSP4 inhibits apoptotic process,"p(HGNC:3070 ! DUSP4) decreases bp(GO:""GO:0006915"" ! ""apoptotic process"")"
22,308,DUSP4 downregulation deactivates the Ras-ERK pathway,"Inhibition(DUSP4(), Ras-ERK())",DUSP4 inhibits Ras-ERK,p(HGNC:3070 ! DUSP4) decreases a(TEXT:Ras-ERK)
23,309,DUSP4 increases apoptosis.,"Activation(DUSP4(), apoptotic process())",DUSP4 activates apoptotic process,"p(HGNC:3070 ! DUSP4) increases bp(GO:""GO:0006915"" ! ""apoptotic process"")"
