Subject,Predicate,Object,Evidence
a(CHEBI:31781 ! lopinavir),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Lopinavir inhibits SARS-CoV-2.
a(CHEBI:31781 ! lopinavir),decreases,bp(MESH:D013577 ! Syndrome),Lopinavir inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:31781 ! lopinavir),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Lopinavir inhibits SARS Virus.
a(CHEBI:45409 ! ritonavir),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Ritonavir inhibits SARS-CoV-2.
a(CHEBI:45409 ! ritonavir),decreases,bp(MESH:D013577 ! Syndrome),Ritonavir inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:45409 ! ritonavir),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Ritonavir inhibits SARS Virus.
a(CHEBI:85083 ! sofosbuvir),decreases,bp(MESH:D013577 ! Syndrome),Sofosbuvir inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:85083 ! sofosbuvir),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Sofosbuvir inhibits SARS Virus.
a(CHEBI:85083 ! sofosbuvir),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Sofosbuvir inhibits SARS-CoV-2.
a(CHEBI:85083 ! sofosbuvir),decreases,a(TEXT:"Zika Virus"),Sofosbuvir inhibits Zika Virus.
a(CHEBI:133009 ! velpatasvir),decreases,bp(MESH:D013577 ! Syndrome),Velpatasvir inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:133009 ! velpatasvir),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Velpatasvir inhibits SARS Virus.
a(CHEBI:133009 ! velpatasvir),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Velpatasvir inhibits SARS-CoV-2.
a(CHEBI:37924 ! atazanavir),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Atazanavir inhibits SARS-CoV-2.
a(CHEBI:367163 ! darunavir),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Darunavir inhibits SARS-CoV-2.
a(CHEBI:367163 ! darunavir),decreases,bp(MESH:D013577 ! Syndrome),Darunavir inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:367163 ! darunavir),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Darunavir inhibits SARS Virus.
a(CHEBI:119486 ! efavirenz),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Efavirenz inhibits SARS-CoV-2.
a(CHEBI:119486 ! efavirenz),decreases,a(TEXT:"Zika Virus"),Efavirenz inhibits Zika Virus.
a(CHEBI:27666 ! "actinomycin D"),decreases,bp(MESH:D013577 ! Syndrome),Actinomycin D inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:27666 ! "actinomycin D"),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Actinomycin D inhibits SARS Virus.
a(CHEBI:27666 ! "actinomycin D"),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Actinomycin D inhibits SARS-CoV-2.
a(CHEBI:27666 ! "actinomycin D"),decreases,bp(MESH:D012295 ! "Rift Valley Fever"),Actinomycin D inhibits Rift Valley fever virus.
a(CHEBI:27666 ! "actinomycin D"),decreases,a(TEXT:"Zika Virus"),Actinomycin D inhibits Zika Virus.
a(CHEBI:27666 ! "actinomycin D"),decreases,bp(MESH:D006505 ! Hepatitis),Actinomycin D inhibits Murine hepatitis virus.
a(CHEBI:42223 ! emodin),decreases,bp(MESH:D013577 ! Syndrome),Emodin inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:42223 ! emodin),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Emodin inhibits SARS-CoV-2.
a(CHEBI:42223 ! emodin),decreases,a(TEXT:"Zika Virus"),Emodin inhibits Zika Virus.
a(CHEBI:16796 ! melatonin),decreases,bp(MESH:D013577 ! Syndrome),Melatonin inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:16796 ! melatonin),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Melatonin inhibits SARS Virus.
a(CHEBI:16796 ! melatonin),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Melatonin inhibits SARS-CoV-2.
a(CHEBI:50667 ! mercaptopurine),decreases,bp(MESH:D013577 ! Syndrome),Mercaptopurine inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:50667 ! mercaptopurine),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Mercaptopurine inhibits SARS Virus.
a(CHEBI:50667 ! mercaptopurine),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Mercaptopurine inhibits SARS-CoV-2.
a(CHEBI:9168 ! sirolimus),decreases,bp(MESH:D013577 ! Syndrome),Sirolimus inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:9168 ! sirolimus),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Sirolimus inhibits SARS Virus.
a(CHEBI:9168 ! sirolimus),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Sirolimus inhibits SARS-CoV-2.
a(CHEBI:9168 ! sirolimus),decreases,a(TEXT:"Zika Virus"),Sirolimus inhibits Zika Virus.
a(CHEBI:9168 ! sirolimus),decreases,bp(MESH:D012295 ! "Rift Valley Fever"),Sirolimus inhibits Rift Valley fever virus.
a(CHEBI:9635 ! toremifene),decreases,bp(MESH:D013577 ! Syndrome),Toremifene inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:9635 ! toremifene),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Toremifene inhibits SARS Virus.
a(CHEBI:9635 ! toremifene),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Toremifene inhibits SARS-CoV-2.
a(CHEBI:29687 ! teicoplanin),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Teicoplanin inhibits SARS-CoV-2.
a(CHEBI:29687 ! teicoplanin),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Teicoplanin inhibits SARS Virus.
a(CHEBI:29687 ! teicoplanin),decreases,bp(MESH:D013577 ! Syndrome),Teicoplanin inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:27226 ! "uric acid"),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Uric acid inhibits SARS-CoV-2.
a(CHEBI:27226 ! "uric acid"),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Uric acid inhibits SARS Virus.
a(CHEBI:50858 ! corticosteroid),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Corticosteroid inhibits SARS Virus.
a(CHEBI:50858 ! corticosteroid),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Corticosteroid inhibits SARS-CoV-2.
a(CHEBI:50858 ! corticosteroid),decreases,bp(MESH:D013577 ! Syndrome),Corticosteroid inhibits Middle East Respiratory Syndrome Coronavirus.
a(CHEBI:2618 ! amantadine),decreases,bp(MESH:D045169 ! "Severe Acute Respiratory Syndrome"),Amantadine inhibits SARS Virus.
a(CHEBI:2618 ! amantadine),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Amantadine inhibits SARS-CoV-2.
a(CHEBI:29101 ! "sodium(1+)"),decreases,bp(MESH:C000656484 ! SARS-CoV-2),Sodium(1+) inhibits SARS-CoV-2.
